order_id,customer_id,order_date,order_status
5063,1038,2025-03-26,Cancelled
5064,1084,2025-10-01,Delivered
5065,1099,2025-10-20,Delivered
5066,1089,2025-08-03,Cancelled
5067,1099,2025-08-20,Delivered
5068,1025,2025-03-02,Pending
5069,1093,2025-12-14,Delivered
5070,1018,2025-06-02,Cancelled
5071,1082,2025-03-19,Delivered
5072,1066,2025-04-18,Delivered
5073,1054,2025-02-03,Delivered
5074,1035,2025-03-03,Cancelled
5075,1080,2025-06-09,Delivered
5076,1061,2025-06-02,Delivered
5077,1041,2025-03-07,Pending
5078,1100,2025-02-17,Delivered
5079,1033,2025-04-28,Delivered
5080,1068,2025-07-09,Cancelled
5081,1033,2025-02-20,Delivered
5082,1014,2025-07-14,Delivered
5083,1021,2025-08-20,Delivered
5084,1048,2025-05-11,Pending
5085,1020,2025-05-22,Delivered
5086,1008,2025-06-21,Delivered
5087,1007,2025-08-12,Delivered
5088,1067,2025-08-18,Delivered
5089,1017,2025-09-01,Cancelled
5090,1033,2025-12-06,Delivered
5091,1048,2025-06-04,Cancelled
5092,1076,2025-09-05,Delivered
5093,1059,2025-03-26,Delivered
5094,1086,2025-01-18,Delivered
5095,1022,2025-03-24,Pending
5096,1030,2025-09-19,Delivered
5097,1038,2025-08-27,Delivered
5098,1051,2025-01-16,Delivered
5099,1054,2025-07-02,Delivered
5100,1008,2025-05-30,Delivered
5101,1027,2025-06-26,Delivered
5102,1027,2025-06-28,Pending
5103,1098,2025-10-19,Delivered
5104,1021,2025-05-11,Delivered
5105,1030,2025-07-22,Cancelled
5106,1097,2025-01-14,Delivered
5107,1028,2025-02-07,Delivered
5108,1064,2025-06-23,Delivered
5109,1097,2025-12-14,Delivered
5110,1069,2025-05-25,Delivered
5111,1061,2025-11-26,Delivered
5112,1048,2025-12-17,Pending
5113,1019,2025-06-03,Cancelled
5114,1004,2025-12-02,Delivered
5115,1035,2025-08-14,Delivered
5116,1064,2025-11-06,Delivered
5117,1049,2025-05-21,Delivered
5118,1017,2025-10-28,Delivered
5119,1044,2025-03-20,Pending
5120,1092,2025-09-18,Cancelled
5121,1030,2025-10-11,Pending
5122,1093,2025-07-10,Delivered
5123,1046,2025-06-25,Delivered
5124,1006,2025-04-10,Pending
5125,1099,2025-07-30,Cancelled
5126,1037,2025-12-21,Pending
5127,1024,2025-01-28,Cancelled
5128,1093,2025-02-17,Cancelled
5129,1046,2025-05-15,Delivered
5130,1053,2025-07-01,Cancelled
5131,1095,2025-05-30,Delivered
5132,1099,2025-09-08,Cancelled
5133,1060,2025-08-17,Cancelled
5134,1097,2025-05-15,Cancelled
5135,1063,2025-03-08,Delivered
5136,1085,2025-06-06,Delivered
5137,1032,2025-11-22,Delivered
5138,1087,2025-01-10,Pending
5139,1033,2025-12-23,Delivered
5140,1067,2025-07-18,Cancelled
5141,1018,2025-07-19,Delivered
5142,1025,2025-11-17,Delivered
5143,1095,2025-05-06,Delivered
5144,1054,2025-05-23,Delivered
5145,1058,2025-03-08,Delivered
5146,1067,2025-02-22,Cancelled
5147,1046,2025-07-01,Cancelled
5148,1024,2025-06-18,Delivered
5149,1032,2025-07-01,Cancelled
5150,1047,2025-11-22,Cancelled
5151,1086,2025-11-08,Delivered
5152,1023,2025-06-07,Cancelled
5153,1066,2025-03-30,Delivered
5154,1027,2025-08-10,Delivered
5155,1002,2025-07-31,Delivered
5156,1090,2025-09-18,Delivered
5157,1017,2025-08-26,Delivered
5158,1033,2025-06-22,Pending
5159,1009,2025-08-24,Delivered
5160,1043,2025-06-05,Pending
5161,1048,2025-01-29,Cancelled
5162,1039,2025-02-25,Delivered
5163,1093,2025-08-30,Cancelled
5164,1042,2025-11-10,Delivered
5165,1026,2025-01-23,Delivered
5166,1099,2025-06-01,Delivered
5167,1050,2025-01-10,Delivered
5168,1025,2025-03-04,Delivered
5169,1024,2025-09-25,Delivered
5170,1013,2025-06-02,Delivered
5171,1060,2025-01-21,Delivered
5172,1007,2025-12-05,Delivered
5173,1057,2025-08-21,Cancelled
5174,1036,2025-10-08,Cancelled
5175,1045,2025-06-14,Pending
5176,1020,2025-01-17,Cancelled
5177,1065,2025-05-11,Delivered
5178,1008,2025-12-23,Delivered
5179,1016,2025-06-22,Pending
5180,1014,2025-04-09,Delivered
5181,1076,2025-05-25,Delivered
5182,1087,2025-07-14,Delivered
5183,1015,2025-11-21,Cancelled
5184,1092,2025-07-06,Delivered
5185,1098,2025-02-06,Delivered
5186,1066,2025-08-17,Pending
5187,1032,2025-02-19,Delivered
5188,1087,2025-08-25,Delivered
5189,1063,2025-07-20,Delivered
5190,1086,2025-06-03,Pending
5191,1051,2025-07-29,Delivered
5192,1025,2025-08-09,Delivered
5193,1058,2025-08-17,Delivered
5194,1063,2025-09-06,Pending
5195,1062,2025-02-24,Delivered
5196,1022,2025-02-13,Delivered
5197,1058,2025-09-19,Delivered
5198,1058,2025-04-01,Delivered
5199,1086,2025-09-22,Cancelled
5200,1049,2025-07-25,Delivered
5201,1052,2025-11-08,Cancelled
5202,1042,2025-01-19,Delivered
5203,1070,2025-11-17,Pending
5204,1015,2025-10-22,Cancelled
5205,1054,2025-09-08,Delivered
5206,1060,2025-09-17,Delivered
5207,1097,2025-01-14,Delivered
5208,1008,2025-05-08,Cancelled
5209,1053,2025-10-25,Pending
5210,1060,2025-03-15,Delivered
5211,1005,2025-06-04,Delivered
5212,1068,2025-08-21,Delivered
5213,1006,2025-09-05,Delivered
5214,1096,2025-07-05,Delivered
5215,1094,2025-10-03,Delivered
5216,1047,2025-12-16,Delivered
5217,1099,2025-10-18,Cancelled
5218,1055,2025-03-13,Delivered
5219,1040,2025-08-14,Pending
5220,1052,2025-12-17,Delivered
5221,1016,2025-11-20,Delivered
5222,1013,2025-10-19,Pending
5223,1030,2025-07-05,Cancelled
5224,1019,2025-04-17,Delivered
5225,1017,2025-04-24,Cancelled
5226,1063,2025-04-18,Delivered
5227,1019,2025-11-16,Pending
5228,1092,2025-01-15,Pending
5229,1058,2025-07-25,Pending
5230,1055,2025-12-26,Delivered
5231,1090,2025-05-22,Delivered
5232,1090,2025-09-25,Cancelled
5233,1062,2025-02-01,Delivered
5234,1023,2025-03-03,Cancelled
5235,1009,2025-06-23,Delivered
5236,1012,2025-07-30,Delivered
5237,1001,2025-04-02,Pending
5238,1058,2025-06-03,Delivered
5239,1001,2025-04-04,Delivered
5240,1034,2025-03-28,Delivered
5241,1096,2025-01-10,Cancelled
5242,1048,2025-03-01,Delivered
5243,1089,2025-07-01,Pending
5244,1001,2025-08-02,Cancelled
5245,1016,2025-09-26,Delivered
5246,1061,2025-10-24,Delivered
5247,1064,2025-02-12,Delivered
5248,1063,2025-12-23,Delivered
5249,1069,2025-04-14,Delivered
5250,1022,2025-03-22,Delivered
5251,1093,2025-02-17,Cancelled
5252,1067,2025-06-12,Pending
5253,1076,2025-09-16,Delivered
5254,1026,2025-06-20,Delivered
5255,1016,2025-05-07,Cancelled
5256,1051,2025-09-25,Cancelled
5257,1086,2025-11-11,Delivered
5258,1057,2025-10-04,Delivered
5259,1029,2025-03-04,Delivered
5260,1078,2025-09-02,Delivered
5261,1092,2025-08-19,Pending
5262,1069,2025-09-17,Delivered
5263,1047,2025-11-18,Delivered
5264,1094,2025-05-01,Cancelled
5265,1062,2025-09-21,Delivered
5266,1069,2025-11-08,Delivered
5267,1076,2025-08-04,Pending
5268,1016,2025-08-26,Cancelled
5269,1090,2025-12-16,Delivered
5270,1090,2025-03-16,Delivered
5271,1048,2025-03-25,Pending
5272,1085,2025-04-22,Pending
5273,1039,2025-07-20,Delivered
5274,1100,2025-09-18,Delivered
5275,1033,2025-08-23,Cancelled
5276,1094,2025-10-30,Delivered
5277,1023,2025-11-11,Cancelled
5278,1010,2025-04-17,Delivered
5279,1069,2025-12-13,Delivered
5280,1100,2025-10-22,Pending
5281,1034,2025-12-10,Delivered
5282,1052,2025-12-22,Delivered
5283,1095,2025-11-13,Delivered
5284,1010,2025-09-15,Cancelled
5285,1019,2025-06-24,Cancelled
5286,1058,2025-12-10,Pending
5287,1096,2025-02-08,Delivered
5288,1001,2025-09-13,Pending
5289,1069,2025-04-25,Delivered
5290,1004,2025-03-01,Pending
5291,1016,2025-03-31,Pending
5292,1024,2025-05-22,Pending
5293,1080,2025-10-21,Delivered
5294,1002,2025-05-27,Delivered
5295,1092,2025-07-12,Pending
5296,1032,2025-12-05,Delivered
5297,1091,2025-10-09,Delivered
5298,1084,2025-12-15,Delivered
5299,1024,2025-03-19,Delivered
5300,1012,2025-02-12,Delivered
